"PokedexNumber","Name","Type","Total","HP","Attack","Defense","SpecialAttack","SpecialDefense","Speed"
"422","Shellos","Water","325","76","48","48","57","62","34"
"423","Gastrodon","WaterGround","475","111","83","68","92","82","39"
"424","Ambipom","Normal","482","75","100","66","60","66","115"
"425","Drifloon","GhostFlying","348","90","50","34","60","44","70"
"426","Drifblim","GhostFlying","498","150","80","44","90","54","80"
"427","Buneary","Normal","350","55","66","44","44","56","85"
"428","Lopunny","Normal","480","65","76","84","54","96","105"
"428","LopunnyMega Lopunny","NormalFighting","580","65","136","94","54","96","135"
"429","Mismagius","Ghost","495","60","60","60","105","105","105"
"430","Honchkrow","DarkFlying","505","100","125","52","105","52","71"
"431","Glameow","Normal","310","49","55","42","42","37","85"
"432","Purugly","Normal","452","71","82","64","64","59","112"
"433","Chingling","Psychic","285","45","30","50","65","50","45"
"434","Stunky","PoisonDark","329","63","63","47","41","41","74"
"435","Skuntank","PoisonDark","479","103","93","67","71","61","84"
"436","Bronzor","SteelPsychic","300","57","24","86","24","86","23"
"437","Bronzong","SteelPsychic","500","67","89","116","79","116","33"
"438","Bonsly","Rock","290","50","80","95","10","45","10"
"439","Mime Jr.","PsychicFairy","310","20","25","45","70","90","60"
"440","Happiny","Normal","220","100","5","5","15","65","30"
"441","Chatot","NormalFlying","411","76","65","45","92","42","91"
"442","Spiritomb","GhostDark","485","50","92","108","92","108","35"
"443","Gible","DragonGround","300","58","70","45","40","45","42"
"444","Gabite","DragonGround","410","68","90","65","50","55","82"
"445","Garchomp","DragonGround","600","108","130","95","80","85","102"
"445","GarchompMega Garchomp","DragonGround","700","108","170","115","120","95","92"
"446","Munchlax","Normal","390","135","85","40","40","85","5"
"447","Riolu","Fighting","285","40","70","40","35","40","60"
"448","Lucario","FightingSteel","525","70","110","70","115","70","90"
"448","LucarioMega Lucario","FightingSteel","625","70","145","88","140","70","112"
"449","Hippopotas","Ground","330","68","72","78","38","42","32"
"450","Hippowdon","Ground","525","108","112","118","68","72","47"
"451","Skorupi","PoisonBug","330","40","50","90","30","55","65"
"452","Drapion","PoisonDark","500","70","90","110","60","75","95"
"453","Croagunk","PoisonFighting","300","48","61","40","61","40","50"
"454","Toxicroak","PoisonFighting","490","83","106","65","86","65","85"
"455","Carnivine","Grass","454","74","100","72","90","72","46"
"456","Finneon","Water","330","49","49","56","49","61","66"
"457","Lumineon","Water","460","69","69","76","69","86","91"
"458","Mantyke","WaterFlying","345","45","20","50","60","120","50"
"459","Snover","GrassIce","334","60","62","50","62","60","40"
"460","Abomasnow","GrassIce","494","90","92","75","92","85","60"
"460","AbomasnowMega Abomasnow","GrassIce","594","90","132","105","132","105","30"
"461","Weavile","DarkIce","510","70","120","65","45","85","125"
"462","Magnezone","ElectricSteel","535","70","70","115","130","90","60"
"463","Lickilicky","Normal","515","110","85","95","80","95","50"
"464","Rhyperior","GroundRock","535","115","140","130","55","55","40"
"465","Tangrowth","Grass","535","100","100","125","110","50","50"
"466","Electivire","Electric","540","75","123","67","95","85","95"
"467","Magmortar","Fire","540","75","95","67","125","95","83"
"468","Togekiss","FairyFlying","545","85","50","95","120","115","80"
"469","Yanmega","BugFlying","515","86","76","86","116","56","95"
"470","Leafeon","Grass","525","65","110","130","60","65","95"
"471","Glaceon","Ice","525","65","60","110","130","95","65"
"472","Gliscor","GroundFlying","510","75","95","125","45","75","95"
"473","Mamoswine","IceGround","530","110","130","80","70","60","80"
"474","Porygon-Z","Normal","535","85","80","70","135","75","90"
"475","Gallade","PsychicFighting","518","68","125","65","65","115","80"
"475","GalladeMega Gallade","PsychicFighting","618","68","165","95","65","115","110"
"476","Probopass","RockSteel","525","60","55","145","75","150","40"
"477","Dusknoir","Ghost","525","45","100","135","65","135","45"
"478","Froslass","IceGhost","480","70","80","70","80","70","110"
"479","Rotom","ElectricGhost","440","50","50","77","95","77","91"
"479","RotomHeat Rotom","ElectricFire","520","50","65","107","105","107","86"
"479","RotomWash Rotom","ElectricWater","520","50","65","107","105","107","86"
"479","RotomFrost Rotom","ElectricIce","520","50","65","107","105","107","86"
"479","RotomFan Rotom","ElectricFlying","520","50","65","107","105","107","86"
"479","RotomMow Rotom","ElectricGrass","520","50","65","107","105","107","86"
"480","Uxie","Psychic","580","75","75","130","75","130","95"
"481","Mesprit","Psychic","580","80","105","105","105","105","80"
"482","Azelf","Psychic","580","75","125","70","125","70","115"
"483","Dialga","SteelDragon","680","100","120","120","150","100","90"
"484","Palkia","WaterDragon","680","90","120","100","150","120","100"
"485","Heatran","FireSteel","600","91","90","106","130","106","77"
"486","Regigigas","Normal","670","110","160","110","80","110","100"
"487","GiratinaAltered Forme","GhostDragon","680","150","100","120","100","120","90"
"487","GiratinaOrigin Forme","GhostDragon","680","150","120","100","120","100","90"
"488","Cresselia","Psychic","600","120","70","120","75","130","85"
"489","Phione","Water","480","80","80","80","80","80","80"
"490","Manaphy","Water","600","100","100","100","100","100","100"
"491","Darkrai","Dark","600","70","90","90","135","90","125"
"492","ShayminLand Forme","Grass","600","100","100","100","100","100","100"
"492","ShayminSky Forme","GrassFlying","600","100","103","75","120","75","127"
"493","Arceus","Normal","720","120","120","120","120","120","120"
"494","Victini","PsychicFire","600","100","100","100","100","100","100"
"495","Snivy","Grass","308","45","45","55","45","55","63"
"496","Servine","Grass","413","60","60","75","60","75","83"
"497","Serperior","Grass","528","75","75","95","75","95","113"
"498","Tepig","Fire","308","65","63","45","45","45","45"
"499","Pignite","FireFighting","418","90","93","55","70","55","55"
"500","Emboar","FireFighting","528","110","123","65","100","65","65"
"501","Oshawott","Water","308","55","55","45","63","45","45"
"502","Dewott","Water","413","75","75","60","83","60","60"
"503","Samurott","Water","528","95","100","85","108","70","70"
"504","Patrat","Normal","255","45","55","39","35","39","42"
"505","Watchog","Normal","420","60","85","69","60","69","77"
"506","Lillipup","Normal","275","45","60","45","25","45","55"
"507","Herdier","Normal","370","65","80","65","35","65","60"
"508","Stoutland","Normal","500","85","110","90","45","90","80"
"509","Purrloin","Dark","281","41","50","37","50","37","66"
"510","Liepard","Dark","446","64","88","50","88","50","106"
"511","Pansage","Grass","316","50","53","48","53","48","64"
"512","Simisage","Grass","498","75","98","63","98","63","101"
"513","Pansear","Fire","316","50","53","48","53","48","64"
"514","Simisear","Fire","498","75","98","63","98","63","101"
"515","Panpour","Water","316","50","53","48","53","48","64"
"516","Simipour","Water","498","75","98","63","98","63","101"
"517","Munna","Psychic","292","76","25","45","67","55","24"
"518","Musharna","Psychic","487","116","55","85","107","95","29"
"519","Pidove","NormalFlying","264","50","55","50","36","30","43"
"520","Tranquill","NormalFlying","358","62","77","62","50","42","65"
"521","Unfezant","NormalFlying","488","80","115","80","65","55","93"
"522","Blitzle","Electric","295","45","60","32","50","32","76"
"523","Zebstrika","Electric","497","75","100","63","80","63","116"
"524","Roggenrola","Rock","280","55","75","85","25","25","15"
"525","Boldore","Rock","390","70","105","105","50","40","20"
"526","Gigalith","Rock","515","85","135","130","60","80","25"
"527","Woobat","PsychicFlying","313","55","45","43","55","43","72"
"528","Swoobat","PsychicFlying","425","67","57","55","77","55","114"
"529","Drilbur","Ground","328","60","85","40","30","45","68"
"530","Excadrill","GroundSteel","508","110","135","60","50","65","88"
"531","Audino","Normal","445","103","60","86","60","86","50"
"531","AudinoMega Audino","NormalFairy","545","103","60","126","80","126","50"
"532","Timburr","Fighting","305","75","80","55","25","35","35"
"533","Gurdurr","Fighting","405","85","105","85","40","50","40"
"534","Conkeldurr","Fighting","505","105","140","95","55","65","45"
"535","Tympole","Water","294","50","50","40","50","40","64"
"536","Palpitoad","WaterGround","384","75","65","55","65","55","69"
"537","Seismitoad","WaterGround","509","105","95","75","85","75","74"
"538","Throh","Fighting","465","120","100","85","30","85","45"
"539","Sawk","Fighting","465","75","125","75","30","75","85"
"540","Sewaddle","BugGrass","310","45","53","70","40","60","42"
"541","Swadloon","BugGrass","380","55","63","90","50","80","42"
"542","Leavanny","BugGrass","500","75","103","80","70","80","92"
"543","Venipede","BugPoison","260","30","45","59","30","39","57"
"544","Whirlipede","BugPoison","360","40","55","99","40","79","47"
"545","Scolipede","BugPoison","485","60","100","89","55","69","112"
"546","Cottonee","GrassFairy","280","40","27","60","37","50","66"
"547","Whimsicott","GrassFairy","480","60","67","85","77","75","116"
"548","Petilil","Grass","280","45","35","50","70","50","30"
"549","Lilligant","Grass","480","70","60","75","110","75","90"
"550","Basculin","Water","460","70","92","65","80","55","98"
"551","Sandile","GroundDark","292","50","72","35","35","35","65"
"552","Krokorok","GroundDark","351","60","82","45","45","45","74"
"553","Krookodile","GroundDark","519","95","117","80","65","70","92"
"554","Darumaka","Fire","315","70","90","45","15","45","50"
"555","DarmanitanStandard Mode","Fire","480","105","140","55","30","55","95"
"555","DarmanitanZen Mode","FirePsychic","540","105","30","105","140","105","55"
"556","Maractus","Grass","461","75","86","67","106","67","60"
"557","Dwebble","BugRock","325","50","65","85","35","35","55"
"558","Crustle","BugRock","475","70","95","125","65","75","45"
"559","Scraggy","DarkFighting","348","50","75","70","35","70","48"
"560","Scrafty","DarkFighting","488","65","90","115","45","115","58"
"561","Sigilyph","PsychicFlying","490","72","58","80","103","80","97"
"562","Yamask","Ghost","303","38","30","85","55","65","30"
"563","Cofagrigus","Ghost","483","58","50","145","95","105","30"
"564","Tirtouga","WaterRock","355","54","78","103","53","45","22"
"565","Carracosta","WaterRock","495","74","108","133","83","65","32"
"566","Archen","RockFlying","401","55","112","45","74","45","70"
"567","Archeops","RockFlying","567","75","140","65","112","65","110"
"568","Trubbish","Poison","329","50","50","62","40","62","65"
"569","Garbodor","Poison","474","80","95","82","60","82","75"
"570","Zorua","Dark","330","40","65","40","80","40","65"
"571","Zoroark","Dark","510","60","105","60","120","60","105"
"572","Minccino","Normal","300","55","50","40","40","40","75"
"573","Cinccino","Normal","470","75","95","60","65","60","115"
"574","Gothita","Psychic","290","45","30","50","55","65","45"
"575","Gothorita","Psychic","390","60","45","70","75","85","55"
"576","Gothitelle","Psychic","490","70","55","95","95","110","65"
"577","Solosis","Psychic","290","45","30","40","105","50","20"
"578","Duosion","Psychic","370","65","40","50","125","60","30"
"579","Reuniclus","Psychic","490","110","65","75","125","85","30"
"580","Ducklett","WaterFlying","305","62","44","50","44","50","55"
"581","Swanna","WaterFlying","473","75","87","63","87","63","98"
"582","Vanillite","Ice","305","36","50","50","65","60","44"
"583","Vanillish","Ice","395","51","65","65","80","75","59"
"584","Vanilluxe","Ice","535","71","95","85","110","95","79"
"585","Deerling","NormalGrass","335","60","60","50","40","50","75"
"586","Sawsbuck","NormalGrass","475","80","100","70","60","70","95"
"587","Emolga","ElectricFlying","428","55","75","60","75","60","103"
"588","Karrablast","Bug","315","50","75","45","40","45","60"
"589","Escavalier","BugSteel","495","70","135","105","60","105","20"
"590","Foongus","GrassPoison","294","69","55","45","55","55","15"
"591","Amoonguss","GrassPoison","464","114","85","70","85","80","30"
"592","Frillish","WaterGhost","335","55","40","50","65","85","40"
"593","Jellicent","WaterGhost","480","100","60","70","85","105","60"
"594","Alomomola","Water","470","165","75","80","40","45","65"
"595","Joltik","BugElectric","319","50","47","50","57","50","65"
"596","Galvantula","BugElectric","472","70","77","60","97","60","108"
"597","Ferroseed","GrassSteel","305","44","50","91","24","86","10"
"598","Ferrothorn","GrassSteel","489","74","94","131","54","116","20"
"599","Klink","Steel","300","40","55","70","45","60","30"
"600","Klang","Steel","440","60","80","95","70","85","50"
"601","Klinklang","Steel","520","60","100","115","70","85","90"
"602","Tynamo","Electric","275","35","55","40","45","40","60"
"603","Eelektrik","Electric","405","65","85","70","75","70","40"
"604","Eelektross","Electric","515","85","115","80","105","80","50"
"605","Elgyem","Psychic","335","55","55","55","85","55","30"
"606","Beheeyem","Psychic","485","75","75","75","125","95","40"
"607","Litwick","GhostFire","275","50","30","55","65","55","20"
"608","Lampent","GhostFire","370","60","40","60","95","60","55"
"609","Chandelure","GhostFire","520","60","55","90","145","90","80"
"610","Axew","Dragon","320","46","87","60","30","40","57"
"611","Fraxure","Dragon","410","66","117","70","40","50","67"
"612","Haxorus","Dragon","540","76","147","90","60","70","97"
"613","Cubchoo","Ice","305","55","70","40","60","40","40"
"614","Beartic","Ice","485","95","110","80","70","80","50"
"615","Cryogonal","Ice","485","70","50","30","95","135","105"
"616","Shelmet","Bug","305","50","40","85","40","65","25"
"617","Accelgor","Bug","495","80","70","40","100","60","145"
"618","Stunfisk","GroundElectric","471","109","66","84","81","99","32"
"619","Mienfoo","Fighting","350","45","85","50","55","50","65"
"620","Mienshao","Fighting","510","65","125","60","95","60","105"
"621","Druddigon","Dragon","485","77","120","90","60","90","48"
"622","Golett","GroundGhost","303","59","74","50","35","50","35"
"623","Golurk","GroundGhost","483","89","124","80","55","80","55"
"624","Pawniard","DarkSteel","340","45","85","70","40","40","60"
"625","Bisharp","DarkSteel","490","65","125","100","60","70","70"
"626","Bouffalant","Normal","490","95","110","95","40","95","55"
"627","Rufflet","NormalFlying","350","70","83","50","37","50","60"
"628","Braviary","NormalFlying","510","100","123","75","57","75","80"
"629","Vullaby","DarkFlying","370","70","55","75","45","65","60"
"630","Mandibuzz","DarkFlying","510","110","65","105","55","95","80"
"631","Heatmor","Fire","484","85","97","66","105","66","65"
"632","Durant","BugSteel","484","58","109","112","48","48","109"
"633","Deino","DarkDragon","300","52","65","50","45","50","38"
"634","Zweilous","DarkDragon","420","72","85","70","65","70","58"
"635","Hydreigon","DarkDragon","600","92","105","90","125","90","98"
"636","Larvesta","BugFire","360","55","85","55","50","55","60"
"637","Volcarona","BugFire","550","85","60","65","135","105","100"
"638","Cobalion","SteelFighting","580","91","90","129","90","72","108"
"639","Terrakion","RockFighting","580","91","129","90","72","90","108"
"640","Virizion","GrassFighting","580","91","90","72","90","129","108"
"641","TornadusIncarnate Forme","Flying","580","79","115","70","125","80","111"
"641","TornadusTherian Forme","Flying","580","79","100","80","110","90","121"
"642","ThundurusIncarnate Forme","ElectricFlying","580","79","115","70","125","80","111"
"642","ThundurusTherian Forme","ElectricFlying","580","79","105","70","145","80","101"
"643","Reshiram","DragonFire","680","100","120","100","150","120","90"
"644","Zekrom","DragonElectric","680","100","150","120","120","100","90"
"645","LandorusIncarnate Forme","GroundFlying","600","89","125","90","115","80","101"
"645","LandorusTherian Forme","GroundFlying","600","89","145","90","105","80","91"
"646","Kyurem","DragonIce","660","125","130","90","130","90","95"
"646","KyuremBlack Kyurem","DragonIce","700","125","170","100","120","90","95"
"646","KyuremWhite Kyurem","DragonIce","700","125","120","90","170","100","95"
"647","KeldeoOrdinary Forme","WaterFighting","580","91","72","90","129","90","108"
"647","KeldeoResolute Forme","WaterFighting","580","91","72","90","129","90","108"
"648","MeloettaAria Forme","NormalPsychic","600","100","77","77","128","128","90"
"648","MeloettaPirouette Forme","NormalFighting","600","100","128","90","77","77","128"
"649","Genesect","BugSteel","600","71","120","95","120","95","99"
"650","Chespin","Grass","313","56","61","65","48","45","38"
"651","Quilladin","Grass","405","61","78","95","56","58","57"
"652","Chesnaught","GrassFighting","530","88","107","122","74","75","64"
"653","Fennekin","Fire","307","40","45","40","62","60","60"
"654","Braixen","Fire","409","59","59","58","90","70","73"
"655","Delphox","FirePsychic","534","75","69","72","114","100","104"
"656","Froakie","Water","314","41","56","40","62","44","71"
"657","Frogadier","Water","405","54","63","52","83","56","97"
"658","Greninja","WaterDark","530","72","95","67","103","71","122"
"659","Bunnelby","Normal","237","38","36","38","32","36","57"
"660","Diggersby","NormalGround","423","85","56","77","50","77","78"
"661","Fletchling","NormalFlying","278","45","50","43","40","38","62"
"662","Fletchinder","FireFlying","382","62","73","55","56","52","84"
"663","Talonflame","FireFlying","499","78","81","71","74","69","126"
"664","Scatterbug","Bug","200","38","35","40","27","25","35"
"665","Spewpa","Bug","213","45","22","60","27","30","29"
"666","Vivillon","BugFlying","411","80","52","50","90","50","89"
"667","Litleo","FireNormal","369","62","50","58","73","54","72"
"668","Pyroar","FireNormal","507","86","68","72","109","66","106"
"669","Flabebe","Fairy","303","44","38","39","61","79","42"
"670","Floette","Fairy","371","54","45","47","75","98","52"
"671","Florges","Fairy","552","78","65","68","112","154","75"
"672","Skiddo","Grass","350","66","65","48","62","57","52"
"673","Gogoat","Grass","531","123","100","62","97","81","68"
"674","Pancham","Fighting","348","67","82","62","46","48","43"
"675","Pangoro","FightingDark","495","95","124","78","69","71","58"
"676","Furfrou","Normal","472","75","80","60","65","90","102"
"677","Espurr","Psychic","355","62","48","54","63","60","68"
"678","MeowsticMale","Psychic","466","74","48","76","83","81","104"
"678","MeowsticFemale","Psychic","466","74","48","76","83","81","104"
"679","Honedge","SteelGhost","325","45","80","100","35","37","28"
"680","Doublade","SteelGhost","448","59","110","150","45","49","35"
"681","AegislashBlade Forme","SteelGhost","520","60","150","50","150","50","60"
"681","AegislashShield Forme","SteelGhost","520","60","50","150","50","150","60"
"682","Spritzee","Fairy","341","78","52","60","63","65","23"
"683","Aromatisse","Fairy","462","101","72","72","99","89","29"
"684","Swirlix","Fairy","341","62","48","66","59","57","49"
"685","Slurpuff","Fairy","480","82","80","86","85","75","72"
"686","Inkay","DarkPsychic","288","53","54","53","37","46","45"
"687","Malamar","DarkPsychic","482","86","92","88","68","75","73"
"688","Binacle","RockWater","306","42","52","67","39","56","50"
"689","Barbaracle","RockWater","500","72","105","115","54","86","68"
"690","Skrelp","PoisonWater","320","50","60","60","60","60","30"
"691","Dragalge","PoisonDragon","494","65","75","90","97","123","44"
"692","Clauncher","Water","330","50","53","62","58","63","44"
"693","Clawitzer","Water","500","71","73","88","120","89","59"
"694","Helioptile","ElectricNormal","289","44","38","33","61","43","70"
"695","Heliolisk","ElectricNormal","481","62","55","52","109","94","109"
"696","Tyrunt","RockDragon","362","58","89","77","45","45","48"
"697","Tyrantrum","RockDragon","521","82","121","119","69","59","71"
"698","Amaura","RockIce","362","77","59","50","67","63","46"
"699","Aurorus","RockIce","521","123","77","72","99","92","58"
"700","Sylveon","Fairy","525","95","65","65","110","130","60"
"701","Hawlucha","FightingFlying","500","78","92","75","74","63","118"
"702","Dedenne","ElectricFairy","431","67","58","57","81","67","101"
"703","Carbink","RockFairy","500","50","50","150","50","150","50"
"704","Goomy","Dragon","300","45","50","35","55","75","40"
"705","Sliggoo","Dragon","452","68","75","53","83","113","60"
"706","Goodra","Dragon","600","90","100","70","110","150","80"
"707","Klefki","SteelFairy","470","57","80","91","80","87","75"
"708","Phantump","GhostGrass","309","43","70","48","50","60","38"
"709","Trevenant","GhostGrass","474","85","110","76","65","82","56"
"710","PumpkabooAverage Size","GhostGrass","335","49","66","70","44","55","51"
"710","PumpkabooSmall Size","GhostGrass","335","44","66","70","44","55","56"
"710","PumpkabooLarge Size","GhostGrass","335","54","66","70","44","55","46"
"710","PumpkabooSuper Size","GhostGrass","335","59","66","70","44","55","41"
"711","GourgeistAverage Size","GhostGrass","494","65","90","122","58","75","84"
"711","GourgeistSmall Size","GhostGrass","494","55","85","122","58","75","99"
"711","GourgeistLarge Size","GhostGrass","494","75","95","122","58","75","69"
"711","GourgeistSuper Size","GhostGrass","494","85","100","122","58","75","54"
"712","Bergmite","Ice","304","55","69","85","32","35","28"
"713","Avalugg","Ice","514","95","117","184","44","46","28"
"714","Noibat","FlyingDragon","245","40","30","35","45","40","55"
"715","Noivern","FlyingDragon","535","85","70","80","97","80","123"
"716","Xerneas","Fairy","680","126","131","95","131","98","99"
"717","Yveltal","DarkFlying","680","126","131","95","131","98","99"
"718","Zygarde Forme","DragonGround","600","108","100","121","81","95","95"
"719","Diancie","RockFairy","600","50","100","150","100","150","50"
"719","DiancieMega Diancie","RockFairy","700","50","160","110","160","110","110"
"720","HoopaHoopa Confined","PsychicGhost","600","80","110","60","150","130","70"
"720","HoopaHoopa Unbound","PsychicDark","680","80","160","60","170","130","80"
"721","Volcanion","FireWater","600","80","110","120","130","90","70"
