e401k,inc,marr,male,age,fsize,nettfa,p401k,pira,incsq,agesq
1,45.279,1,0,40,3,1.865,1,0,2050.188,1600
0,104.235,1,0,53,2,144.5,0,1,10864.94,2809
1,66.477,1,0,51,3,82.015,1,1,4419.191,2601
0,60.702,1,0,36,4,8.7,0,0,3684.733,1296
0,47.25,0,1,44,1,-0.6,0,0,2232.563,1936
0,31.83,1,0,37,5,0,0,0,1013.149,1369
0,20.46,0,0,26,4,0.1,0,0,418.6116,676
0,18.696,0,0,59,1,0,0,0,349.5404,3481
0,72.099,1,0,46,2,0.044,0,0,5198.266,2116
1,139.938,1,0,53,4,141.3,1,1,19582.64,2809
0,17.169,1,0,49,6,85.56,0,1,294.7746,2401
1,39.249,1,0,30,4,5.454,1,0,1540.484,900
1,47.79,1,0,56,3,36.27,1,1,2283.884,3136
1,31.644,1,0,32,4,-23.162,0,0,1001.343,1024
0,19.413,0,0,41,4,-4.095,0,0,376.8646,1681
1,123.111,1,0,55,2,31.971,1,1,15156.32,3025
1,23.985,0,0,46,1,25.3,1,1,575.2803,2116
1,39,0,1,38,1,1134.098,1,1,1521,1444
1,48.612,1,0,41,4,41.828,1,0,2363.126,1681
1,39.396,1,1,29,3,-6.6,1,0,1552.045,841
0,21.459,0,0,39,2,-2.681,0,0,460.4887,1521
0,37.539,0,0,55,1,26.499,0,1,1409.177,3025
0,58.959,0,0,51,1,110.1,0,1,3476.164,2601
0,15.84,1,0,30,2,-10.6,0,0,250.9056,900
1,69.942,1,0,34,3,36.5,1,0,4891.884,1156
0,14.85,0,0,45,2,1.8,0,0,220.5225,2025
0,13.491,0,0,49,1,-0.306,0,0,182.0071,2401
0,33.651,0,1,64,1,-10.946,0,0,1132.39,4096
0,17.883,0,1,36,1,-2.384,0,0,319.8017,1296
0,31.53,0,0,44,2,-2.24,0,0,994.1409,1936
0,27.555,0,0,30,1,-14.35,0,0,759.278,900
1,36.6,1,0,44,4,-2,0,1,1339.56,1936
1,57.39,1,0,51,4,48.7,1,1,3293.612,2601
0,25.5,1,0,32,3,-0.295,0,0,650.25,1024
0,17.106,1,0,52,4,37.623,0,1,292.6153,2704
1,60.303,1,0,35,4,53.45,1,0,3636.452,1225
0,55.305,1,0,28,3,-5.75,0,0,3058.643,784
0,33.192,0,0,38,2,-0.4,0,0,1101.709,1444
0,41.712,1,0,33,4,46.5,0,0,1739.891,1089
0,55.359,1,0,30,2,-15.1,0,0,3064.619,900
1,59.166,0,1,61,5,46.099,1,1,3500.615,3721
1,39.039,1,0,63,2,39.799,0,1,1524.044,3969
0,18.99,0,0,39,1,-1.451,0,0,360.6201,1521
0,87.15,1,0,46,2,15.325,0,1,7595.123,2116
0,24.486,1,0,41,4,-2.3,0,0,599.5642,1681
0,11.868,0,0,45,3,-0.9,0,0,140.8494,2025
0,48.36,1,0,39,4,-3,0,0,2338.69,1521
1,13.005,0,0,51,5,1,1,0,169.13,2601
1,34.596,0,0,39,4,3.559,1,0,1196.883,1521
0,12.036,1,0,31,6,-0.08,0,0,144.8653,961
0,18.36,0,1,30,3,0.05,0,0,337.0896,900
1,100.356,0,1,36,1,-14.18,0,0,10071.33,1296
0,11.616,0,1,28,1,4.2,0,0,134.9315,784
0,27.57,1,0,32,3,1,0,0,760.1049,1024
0,35.283,1,0,35,5,13.409,0,0,1244.89,1225
1,43.302,1,0,29,4,9.406,1,0,1875.063,841
0,37.992,1,0,59,7,-12.6,0,0,1443.392,3481
0,29.283,1,0,28,4,2.015,0,0,857.4941,784
1,36.975,1,0,41,6,4.2,1,0,1367.151,1681
0,65.865,1,0,51,2,89.41,0,1,4338.198,2601
1,54.045,0,0,46,1,-2.551,1,1,2920.862,2116
1,18.594,0,0,32,1,5.674,1,0,345.7368,1024
0,21.405,1,0,36,4,0,0,0,458.174,1296
0,35.757,0,1,33,1,-0.762,0,0,1278.563,1089
1,34.536,1,0,64,2,8.709,0,0,1192.735,4096
0,18.294,0,0,32,2,0.425,0,0,334.6705,1024
1,59.976,1,0,37,3,77.878,1,1,3597.121,1369
1,30.138,1,0,50,4,4.499,1,0,908.2991,2500
1,100.125,1,0,36,4,109.25,1,1,10025.02,1296
1,25.614,1,0,40,4,-2.474,0,0,656.077,1600
0,11.475,0,0,64,1,0,0,0,131.6756,4096
0,13.632,0,1,41,2,0.4,0,0,185.8314,1681
0,20.526,1,0,31,3,0.55,0,0,421.3167,961
1,20.43,1,0,43,4,6.24,1,0,417.3849,1849
1,22.242,0,0,43,2,0.4,0,0,494.7066,1849
1,38.253,1,1,36,5,-0.5,1,0,1463.292,1296
1,71.358,0,0,45,2,1018.238,1,0,5091.964,2025
0,44.376,1,0,28,4,11.4,0,0,1969.229,784
0,32.748,1,0,26,4,-1.7,0,0,1072.432,676
0,24.879,1,0,38,5,-3.665,0,0,618.9646,1444
1,54.3,1,0,28,4,5.1,1,0,2948.49,784
0,21.675,0,1,29,1,0.1,0,0,469.8056,841
1,49.44,1,0,63,4,136.899,0,0,2444.313,3969
1,76.104,0,0,63,2,152.5,1,1,5791.818,3969
0,14.976,0,1,34,1,3.999,0,0,224.2806,1156
1,44.697,0,1,29,1,8.5,1,0,1997.822,841
0,28.005,0,0,43,3,1.4,0,1,784.28,1849
0,76.362,1,0,38,5,53.6,0,1,5831.155,1444
0,63.858,1,0,31,5,-3.7,0,0,4077.844,961
0,76.08,1,0,33,4,-7.151,0,1,5788.167,1089
0,28.134,1,0,37,3,-4.7,0,0,791.522,1369
1,69.321,1,0,40,4,-75.652,0,1,4805.401,1600
0,33.006,1,0,33,3,-0.3,0,0,1089.396,1089
0,85.515,1,0,49,2,66.691,0,0,7312.815,2401
0,23.04,0,1,26,1,4.35,0,0,530.8416,676
1,36.12,1,0,46,3,17.5,0,0,1304.654,2116
0,42.378,1,0,38,4,-21.7,0,0,1795.895,1444
1,48.966,1,0,37,3,48.856,1,1,2397.669,1369
1,37.026,1,0,55,2,19.205,1,1,1370.925,3025
0,30.333,0,0,43,3,0.059,0,0,920.0909,1849
1,54.06,0,0,35,1,21.86,1,1,2922.484,1225
1,95.823,1,0,36,3,31.199,1,1,9182.047,1296
0,44.502,1,0,30,5,4.998,0,0,1980.428,900
1,68.388,1,0,40,4,11.886,1,0,4676.918,1600
0,20.067,0,0,58,3,29,0,0,402.6845,3364
0,31.26,1,0,33,4,-7.5,0,0,977.1876,1089
0,37.704,1,0,29,3,3.8,0,0,1421.592,841
1,22.95,0,0,48,3,-3.364,0,0,526.7025,2304
0,79.5,1,0,33,4,8.513,0,0,6320.25,1089
0,26.85,1,0,28,2,3.9,0,1,720.9225,784
0,61.857,1,1,42,5,65.33,0,1,3826.288,1764
1,60.069,1,0,42,4,30.5,1,0,3608.285,1764
1,59.976,1,0,55,3,24.087,1,1,3597.121,3025
1,14.496,0,0,44,5,1.4,1,0,210.134,1936
0,23.25,0,0,49,1,89.9,0,1,540.5625,2401
0,49.5,0,0,34,3,-3,0,0,2450.25,1156
1,68.172,1,0,51,5,1.645,1,0,4647.421,2601
0,22.5,0,0,32,2,0.75,0,0,506.25,1024
0,33.12,1,0,35,4,-14,0,0,1096.934,1225
0,11.64,0,0,46,2,-3.89,0,0,135.4896,2116
0,130.296,1,0,29,2,3.5,0,0,16977.05,841
0,95.46,1,0,49,5,29.88,0,0,9112.611,2401
1,101.532,1,0,49,2,8.565,0,1,10308.75,2401
0,12,0,0,34,5,0.02,0,0,144,1156
0,17.64,0,0,35,4,0,0,0,311.1696,1225
0,14.661,0,0,25,1,0.024,0,0,214.9449,625
0,17.649,0,1,31,1,1.96,0,0,311.4872,961
0,18.96,0,1,46,1,0,0,0,359.4816,2116
1,21.99,1,0,44,4,5.633,1,0,483.5601,1936
1,38.496,1,0,25,3,-0.011,1,0,1481.942,625
0,20.76,1,0,39,2,-0.3,0,0,430.9776,1521
0,12.96,1,0,44,8,0.999,0,0,167.9616,1936
0,20.811,1,0,32,3,0.34,0,0,433.0977,1024
1,28.05,1,0,39,5,0,0,0,786.8024,1521
0,27.72,1,0,31,2,-0.87,0,0,768.3984,961
1,30.714,1,1,33,5,-13.229,1,0,943.3499,1089
0,115.584,1,0,40,2,-409,0,0,13359.66,1600
0,67.005,1,0,36,5,-12.3,0,0,4489.669,1296
0,26.016,0,0,42,2,51.2,0,0,676.8323,1764
0,32.856,0,0,32,2,15.8,0,0,1079.517,1024
1,18.171,1,0,31,5,1.011,1,0,330.1852,961
1,38.964,0,0,55,2,-7.18,0,0,1518.193,3025
1,31.059,1,0,62,2,9.249,0,1,964.6615,3844
0,20.424,1,0,37,4,-3.65,0,0,417.1398,1369
0,23.703,1,0,39,5,-16.747,0,0,561.8322,1521
1,10.791,1,1,29,4,-1.087,0,0,116.4457,841
0,19.38,0,1,27,3,-3.73,0,0,375.5844,729
0,21.15,1,0,32,2,-1.95,0,0,447.3225,1024
0,12.084,0,0,26,2,0,0,0,146.023,676
0,11.79,1,0,61,3,-3.45,0,0,139.0041,3721
0,25.356,1,0,33,4,-0.655,0,0,642.9268,1089
1,19.206,1,0,26,4,-0.375,1,0,368.8704,676
1,87.663,1,0,55,4,-4.7,0,0,7684.802,3025
0,51.06,0,1,37,1,7.999,0,1,2607.124,1369
0,11.451,1,0,50,3,20.248,0,0,131.1254,2500
0,34.731,1,0,45,3,0.1,0,0,1206.242,2025
0,25.995,1,0,27,5,-3.248,0,0,675.7401,729
0,16.65,0,0,59,2,2.499,0,0,277.2225,3481
1,57.768,0,0,37,1,46.059,1,1,3337.142,1369
0,27.585,1,0,63,2,4.6,0,1,760.9322,3969
1,30,1,0,35,2,-2,0,0,900,1225
0,50.4,1,0,26,3,-0.611,0,0,2540.16,676
0,27.546,0,0,28,1,-5.5,0,0,758.7821,784
1,38.604,1,0,26,2,7.196,1,1,1490.269,676
1,51.975,1,0,63,2,35.749,1,1,2701.4,3969
0,35.805,0,0,38,4,0.15,0,0,1281.998,1444
0,24.561,1,0,57,3,4.47,0,0,603.2427,3249
0,12.912,1,0,52,4,-1.65,0,0,166.7197,2704
1,31.131,0,0,42,3,5.327,0,0,969.1392,1764
0,23.136,1,0,64,2,64.599,0,1,535.2745,4096
1,52.11,1,0,47,2,113.6,1,1,2715.452,2209
0,48.03,1,0,50,4,15.098,0,1,2306.881,2500
0,44.589,1,0,57,8,34.999,0,1,1988.179,3249
0,65.334,1,0,31,4,10.175,0,0,4268.532,961
1,16.092,0,0,61,2,42.15,1,0,258.9524,3721
1,44.298,1,0,43,5,28.47,0,1,1962.313,1849
0,13.029,0,0,31,1,15.042,0,0,169.7549,961
0,32.436,1,0,56,2,-0.545,0,0,1052.094,3136
0,26.61,1,1,41,4,4.415,0,0,708.0921,1681
1,36.72,1,1,30,3,6,1,0,1348.359,900
0,15,0,0,51,1,0,0,0,225,2601
1,42.75,1,0,38,4,53,1,0,1827.563,1444
0,41.568,1,0,40,2,2.823,0,0,1727.899,1600
0,30,0,0,41,3,33.499,0,1,900,1681
0,49.284,1,0,28,4,-2.875,0,0,2428.913,784
1,36.75,0,0,36,4,1.4,0,0,1350.563,1296
0,73.68,1,1,33,2,4.15,0,0,5428.743,1089
0,28.05,0,1,34,1,-0.4,0,0,786.8024,1156
1,42.15,0,1,26,1,5.5,1,0,1776.623,676
0,49.2,1,0,30,2,25,0,0,2420.64,900
0,41.925,1,1,27,2,-1,0,0,1757.706,729
0,32.001,0,1,26,1,-1.14,0,0,1024.064,676
0,17.7,0,1,28,1,0,0,0,313.29,784
0,33.432,1,0,63,7,-6.9,0,0,1117.699,3969
0,22.395,1,0,49,5,-1.564,0,0,501.536,2401
0,43.02,1,0,58,4,10,0,1,1850.72,3364
0,38.13,1,0,30,4,0.3,0,0,1453.897,900
0,51.327,1,0,45,2,29.82,0,1,2634.461,2025
0,16.374,1,0,46,6,-1.218,0,0,268.1079,2116
1,28.08,1,0,43,5,18.93,0,0,788.4864,1849
0,18.447,1,0,25,4,-0.829,0,0,340.2918,625
0,57.624,0,1,36,1,0.3,0,0,3320.525,1296
0,36.6,1,0,55,2,4.299,0,0,1339.56,3025
0,43.23,0,1,28,1,1.4,0,0,1868.833,784
1,41.46,1,0,28,4,15.9,1,0,1718.932,784
1,48.921,1,0,36,5,-3.301,1,0,2393.264,1296
0,14.19,1,0,60,2,16.175,0,0,201.3561,3600
0,23.244,0,1,60,1,0.4,0,0,540.2835,3600
0,50.835,1,0,42,4,14.499,0,1,2584.197,1764
0,84.993,1,0,44,3,6.973,0,0,7223.81,1936
0,10.836,0,0,27,3,0.599,0,0,117.4189,729
0,88.422,1,0,53,5,4.62,0,1,7818.45,2809
0,23.1,1,1,62,2,47.998,0,0,533.61,3844
1,20.388,1,0,38,4,0.5,0,0,415.6706,1444
0,14.58,0,0,29,3,-1,0,0,212.5764,841
1,28.635,0,1,27,1,2.3,1,1,819.9633,729
0,17.214,0,0,44,1,0,0,0,296.3218,1936
0,23.109,1,0,60,2,17.6,0,1,534.0258,3600
1,26.136,1,0,36,5,13.4,1,0,683.0905,1296
0,50.388,1,0,31,2,12.4,0,0,2538.951,961
0,52.26,1,0,43,5,28.499,0,1,2731.107,1849
0,56.589,1,0,43,4,-11.65,0,1,3202.315,1849
1,71.25,1,0,33,4,29.65,1,1,5076.563,1089
0,18.696,1,0,37,3,6.499,0,0,349.5404,1369
0,12.216,0,0,29,1,-1.9,0,0,149.2307,841
0,13.338,0,0,39,6,0,0,0,177.9023,1521
0,11.628,0,1,57,1,-3,0,0,135.2104,3249
1,38.076,0,0,61,2,131.663,1,1,1449.782,3721
1,17.901,1,1,30,4,-2.039,0,0,320.4458,900
0,33.066,1,0,40,4,1.7,0,0,1093.36,1600
0,45.453,1,0,42,4,-2.847,0,0,2065.975,1764
0,25.38,0,1,64,1,22.999,0,1,644.1443,4096
1,54.906,1,0,30,5,2.798,1,0,3014.669,900
1,18.966,1,0,34,5,-1,0,1,359.7091,1156
0,73.686,1,0,58,3,88.999,0,1,5429.626,3364
1,56.67,1,0,43,4,16,1,0,3211.489,1849
1,31.203,0,1,28,2,5.528,1,0,973.6271,784
1,19.488,1,0,33,4,3.5,1,0,379.7822,1089
1,20.01,0,0,45,4,4.3,0,1,400.4001,2025
0,19.068,0,0,43,3,-7.304,0,0,363.5887,1849
0,51.432,0,0,38,3,-1.694,0,0,2645.25,1444
1,104.4,1,0,50,3,182.5,1,1,10899.36,2500
0,38.832,0,0,52,2,132.671,0,1,1507.924,2704
1,84.069,1,0,50,4,99.9,1,1,7067.597,2500
0,41.496,0,0,38,1,0,0,0,1721.918,1444
1,44.094,1,0,26,2,-5.6,1,0,1944.281,676
1,73.92,0,1,52,1,98.858,1,0,5464.166,2704
0,13.749,0,0,33,1,0.4,0,0,189.035,1089
1,64.038,1,0,31,2,11.669,1,0,4100.866,961
1,59.769,1,0,46,4,77,0,1,3572.333,2116
1,66.921,1,0,60,2,117.999,1,1,4478.42,3600
0,55.344,1,0,44,4,73.499,0,0,3062.958,1936
0,48.138,1,0,39,4,-14.091,0,0,2317.267,1521
0,17.034,1,0,42,1,2,0,1,290.1572,1764
0,24.915,1,0,34,7,2.559,0,0,620.7573,1156
0,22.2,0,1,27,1,-2.85,0,0,492.84,729
0,19.212,0,1,38,1,-2.78,0,0,369.101,1444
1,69.84,1,0,41,2,4.1,1,0,4877.625,1681
0,28.944,1,0,45,3,-3.088,0,0,837.7551,2025
1,26.79,0,0,41,1,8.591,1,1,717.7042,1681
0,72.672,1,1,52,3,17.899,0,0,5281.219,2704
1,37.62,1,0,44,2,17.966,1,1,1415.264,1936
0,17.643,0,1,28,1,-1.2,0,0,311.2755,784
0,13.185,0,0,37,2,0.799,0,0,173.8442,1369
0,29.616,1,0,30,3,5.1,0,1,877.1074,900
1,41.196,0,0,40,2,30.35,1,0,1697.11,1600
1,43.92,0,1,49,2,24.972,1,0,1928.966,2401
1,71.118,1,0,45,12,11.887,1,1,5057.77,2025
1,38.091,1,0,42,4,10.7,1,0,1450.924,1764
1,68.01,1,0,54,2,24.961,1,1,4625.36,2916
0,27.792,1,0,43,3,0.449,0,1,772.3953,1849
0,58.599,1,0,43,5,-5.39,0,0,3433.843,1849
0,42.51,1,0,29,2,3.7,0,0,1807.1,841
0,20.4,0,0,39,3,0,0,0,416.16,1521
0,20.7,0,0,52,1,4.1,0,0,428.49,2704
0,34.923,0,1,29,1,-5.35,0,0,1219.616,841
0,17.442,0,0,45,5,0,0,0,304.2234,2025
1,74.523,1,0,55,2,131.599,1,1,5553.678,3025
0,30.72,0,0,26,1,0.36,0,0,943.7184,676
1,45.045,0,1,50,1,40.949,1,1,2029.052,2500
0,42.69,1,0,49,4,0.099,0,0,1822.436,2401
0,10.932,1,0,30,4,0,0,0,119.5086,900
0,19.557,0,1,61,4,0.399,0,0,382.4762,3721
0,19.239,1,0,30,6,-1.195,0,0,370.1391,900
1,14.283,0,0,27,2,0.1,0,0,204.0041,729
1,35.13,0,1,33,1,25.2,0,1,1234.117,1089
1,36.411,0,0,34,2,-26.67,1,0,1325.761,1156
1,106.068,1,0,37,2,26.5,1,0,11250.42,1369
0,29.865,1,1,52,2,18.75,0,1,891.9182,2704
0,49.29,1,0,58,6,2,0,0,2429.504,3364
0,15.465,1,1,58,2,145.001,0,1,239.1662,3364
1,61.2,1,0,52,2,45.942,1,0,3745.44,2704
1,38.991,0,0,64,2,7.983,1,0,1520.298,4096
1,70.263,1,0,48,4,90.09,1,0,4936.889,2304
1,75.45,1,1,41,3,-8.701,0,0,5692.702,1681
0,28.83,0,1,25,1,-1.2,0,0,831.1689,625
0,38.613,1,0,55,4,5.8,0,0,1490.964,3025
0,12.834,1,0,32,6,-9.732,0,0,164.7115,1024
1,84.687,1,0,40,2,74.8,1,1,7171.887,1600
1,22.104,0,0,25,1,-4.735,0,0,488.5868,625
1,54.558,1,0,26,2,-13.19,1,0,2976.575,676
1,77.457,1,0,41,4,17.95,1,0,5999.587,1681
1,66.396,1,0,46,4,38.9,1,1,4408.429,2116
1,24.333,1,0,37,5,0.7,1,0,592.0949,1369
1,60.06,1,0,64,2,46.987,1,0,3607.204,4096
1,40.494,1,0,49,4,-1.502,1,0,1639.764,2401
1,77.706,1,0,42,5,22.1,1,0,6038.223,1764
0,53.091,1,0,40,3,0,0,0,2818.654,1600
0,68.85,1,0,40,2,7.455,0,0,4740.322,1600
1,36.9,1,0,39,3,35.3,1,0,1361.61,1521
0,24.81,0,1,31,1,-0.501,0,0,615.5361,961
0,23.445,1,0,59,2,9.6,0,1,549.668,3481
1,73.116,1,0,59,6,41.1,1,0,5345.949,3481
1,71.829,1,0,39,4,11.75,1,0,5159.406,1521
1,74.1,1,0,45,5,67.02,1,1,5490.81,2025
0,15.459,0,0,34,3,15.1,0,0,238.9807,1156
0,33.36,1,0,59,2,20.6,0,1,1112.89,3481
0,18.264,0,0,51,2,-11,0,0,333.5737,2601
1,37.188,0,0,40,3,2.399,1,0,1382.947,1600
0,26.982,0,0,61,1,-8.9,0,0,728.0283,3721
0,21.021,0,1,36,1,10.56,0,0,441.8824,1296
0,33.9,0,1,28,1,24.999,0,0,1149.21,784
1,39.684,0,1,60,1,-13.9,1,0,1574.82,3600
1,30,1,1,43,1,0,0,0,900,1849
1,64.5,0,1,35,1,22,1,0,4160.25,1225
0,20.46,0,0,28,1,-4.9,0,0,418.6116,784
0,61.68,1,0,62,2,115.5,0,1,3804.422,3844
1,53.685,1,1,29,7,18.1,1,0,2882.079,841
1,113.076,1,0,42,4,106.825,1,1,12786.18,1764
1,88.689,1,0,54,3,7.249,1,1,7865.739,2916
0,24.48,0,1,25,1,7,0,0,599.2704,625
0,47.046,1,0,30,3,5.158,0,0,2213.326,900
0,90.3,1,0,45,4,24.5,0,1,8154.09,2025
1,55.944,1,0,53,2,1.586,0,0,3129.731,2809
0,39.234,1,0,33,4,-1.154,0,0,1539.307,1089
1,21.12,0,0,44,3,-4.2,0,0,446.0544,1936
0,29.22,1,0,36,4,-7.001,0,0,853.8083,1296
0,17.7,0,0,28,3,-2.8,0,0,313.29,784
1,39.846,1,0,48,5,-4.985,0,0,1587.704,2304
1,56.877,1,0,49,3,26.877,0,1,3234.993,2401
0,43.05,0,1,35,2,6.35,0,0,1853.302,1225
0,24.63,0,1,25,1,-3.8,0,0,606.6368,625
1,120.069,1,0,45,4,4,0,0,14416.56,2025
1,37.17,1,0,28,2,-4.201,0,0,1381.609,784
0,31.2,1,0,37,3,-1.102,0,0,973.4401,1369
0,24.612,1,0,57,3,-8.801,0,0,605.7505,3249
0,18.903,1,0,35,5,-0.7,0,0,357.3234,1225
1,36.003,1,1,46,2,0.5,0,0,1296.216,2116
0,20.4,1,0,50,2,0,0,0,416.16,2500
1,63.915,1,0,46,2,33.567,1,0,4085.127,2116
0,35.55,1,0,30,4,-1.822,0,0,1263.802,900
1,68.655,1,0,35,2,69,1,0,4713.509,1225
1,52.254,1,0,31,4,-8.729,1,0,2730.481,961
0,11.751,0,0,52,1,-0.112,0,0,138.086,2704
1,63,1,0,53,4,127.18,1,1,3969,2809
0,45.15,1,0,49,4,0.3,0,1,2038.523,2401
1,39.981,1,0,27,2,-21.548,0,0,1598.48,729
1,73.341,1,0,42,4,2.167,1,0,5378.903,1764
0,20.235,1,0,58,2,20.649,0,1,409.4553,3364
0,18.39,1,0,44,2,15.199,0,1,338.1921,1936
1,29.739,1,0,28,3,3.429,1,0,884.4081,784
0,56.55,1,0,42,4,12.821,0,1,3197.902,1764
0,37.323,1,0,29,3,-9.65,0,0,1393.006,841
0,28.209,0,0,25,1,82.2,0,1,795.7477,625
0,52.35,1,0,31,4,-6.415,0,0,2740.522,961
1,58.338,1,0,51,4,14.2,1,1,3403.323,2601
0,58.305,1,0,42,5,32.399,0,0,3399.473,1764
0,45.9,1,0,54,4,-2.05,0,0,2106.81,2916
1,79.269,1,0,34,2,-5.825,0,0,6283.574,1156
1,32.616,1,0,62,3,0,0,0,1063.804,3844
1,14.544,0,0,50,1,-5.1,0,0,211.5279,2500
1,66.876,1,0,50,4,181.667,1,1,4472.399,2500
0,44.4,1,0,36,5,8.897,0,1,1971.36,1296
1,38.007,1,1,42,5,1.1,0,0,1444.532,1764
0,10.728,0,0,61,2,2.599,0,0,115.09,3721
0,56.046,1,0,42,2,15.35,0,0,3141.154,1764
0,13.317,0,0,62,1,15.801,0,0,177.3425,3844
0,45.519,1,0,59,2,130.812,0,1,2071.979,3481
0,124.86,0,0,46,2,-3.801,0,0,15590.02,2116
1,63.291,1,0,44,4,54.365,1,1,4005.751,1936
1,40.98,0,0,39,1,6.45,0,0,1679.36,1521
0,22.113,0,0,35,1,0.699,0,1,488.9848,1225
1,42.024,1,0,32,5,-0.2,1,0,1766.016,1024
1,20.646,0,1,44,1,3.3,1,0,426.2573,1936
1,22.881,0,0,32,4,-0.066,1,0,523.5402,1024
1,143.346,1,0,28,2,14.5,1,0,20548.07,784
1,47.328,1,0,55,5,24.2,1,0,2239.939,3025
1,39.405,0,0,56,1,52.55,1,1,1552.754,3136
0,26.4,1,0,42,3,0,0,0,696.96,1764
0,42.69,0,1,47,1,-14.701,0,0,1822.436,2209
0,20.526,1,0,62,3,2.8,0,0,421.3167,3844
0,11.34,0,0,33,4,0,0,0,128.5956,1089
0,32.805,1,0,38,4,-3.2,0,0,1076.168,1444
0,16.014,0,0,61,6,4.999,0,1,256.4482,3721
0,51.591,1,1,41,4,73.351,0,1,2661.631,1681
0,33.984,0,1,28,1,-2.7,0,0,1154.912,784
1,24.348,0,1,28,3,3.675,1,1,592.8251,784
1,36.6,1,0,32,2,5.7,1,0,1339.56,1024
1,36.174,1,1,40,2,2.882,0,0,1308.558,1600
1,78.783,1,0,44,4,48.446,1,0,6206.761,1936
1,57.3,1,0,28,4,47.999,1,0,3283.29,784
0,83.652,1,0,32,4,78.3,0,1,6997.657,1024
0,91.98,1,0,39,3,6.399,0,1,8460.321,1521
1,20.898,0,1,42,1,-4.1,1,0,436.7264,1764
0,45.444,1,0,61,2,215.121,0,1,2065.157,3721
1,50.082,1,0,37,3,28,0,0,2508.207,1369
1,22.56,0,0,40,1,0,0,0,508.9536,1600
0,14.58,0,1,41,3,-0.248,0,0,212.5764,1681
0,20.592,0,0,41,3,-1.69,0,0,424.0304,1681
0,25.662,1,1,48,2,3.203,0,0,658.5383,2304
0,58.08,1,0,30,4,72.907,0,0,3373.287,900
1,145.854,1,0,45,4,51.5,1,0,21273.39,2025
1,71.346,1,0,38,3,26.7,0,0,5090.252,1444
0,10.5,0,0,25,3,-1.468,0,0,110.25,625
0,37.584,1,0,41,4,-0.8,0,0,1412.557,1681
0,19.254,0,0,29,3,1,0,0,370.7165,841
0,10.497,1,0,27,4,0,0,0,110.187,729
0,79.053,1,0,48,2,93.501,0,1,6249.377,2304
1,48.135,1,0,36,4,35.86,1,0,2316.978,1296
0,69.552,1,0,45,4,26,0,0,4837.481,2025
0,32.844,1,0,26,3,7.399,0,0,1078.728,676
0,18.234,1,0,28,3,1.601,0,0,332.4787,784
0,47.178,1,0,47,5,36.699,0,1,2225.764,2209
0,21.405,0,0,29,3,-8.952,0,0,458.174,841
1,64.011,1,0,47,3,11.749,0,1,4097.408,2209
0,24.063,0,1,51,2,-0.051,0,0,579.028,2601
0,15,1,0,33,7,-0.453,0,0,225,1089
0,99.33,1,1,38,3,17.407,0,1,9866.449,1444
1,83.472,1,0,36,2,33.405,1,1,6967.575,1296
1,28.05,1,0,29,4,-2.981,1,0,786.8024,841
0,94.476,0,0,43,3,2.672,0,1,8925.714,1849
0,28.383,0,0,28,1,6.75,0,0,805.5947,784
0,45.816,0,0,44,3,19.242,0,1,2099.106,1936
0,41.232,1,0,28,2,7.199,0,0,1700.078,784
1,96.816,1,0,44,4,2,1,0,9373.338,1936
1,18.555,1,1,42,2,4.764,1,0,344.288,1764
0,18.09,1,0,41,2,-0.3,0,0,327.2481,1681
0,16.2,1,0,51,7,-13.947,0,0,262.44,2601
0,24.792,1,0,36,6,-1.6,0,0,614.6432,1296
1,24.582,1,0,39,3,0,0,0,604.2748,1521
1,67.8,1,0,36,2,28,0,0,4596.84,1296
0,12.171,0,0,64,1,2.132,0,1,148.1332,4096
1,23.577,0,1,38,1,4,0,0,555.8749,1444
1,31.47,1,0,53,7,-2.7,1,0,990.3608,2809
1,88.596,0,0,48,1,79.328,1,1,7849.251,2304
0,17.04,0,0,52,1,-1.2,0,0,290.3616,2704
1,36.192,0,0,29,1,41.2,1,0,1309.861,841
1,34.827,0,1,37,2,-8,0,0,1212.92,1369
1,29.238,1,0,53,2,57.185,1,0,854.8607,2809
1,33.177,0,0,40,1,-11.199,0,0,1100.713,1600
0,29.808,1,0,43,3,-2.9,0,0,888.5169,1849
0,13.818,0,1,52,1,49.999,0,0,190.9371,2704
1,24.117,0,0,52,1,12.961,1,0,581.6297,2704
0,36.15,1,0,38,5,1.414,0,0,1306.823,1444
0,25.386,0,0,27,1,12.199,0,1,644.449,729
1,40.086,1,0,57,2,0,0,0,1606.887,3249
0,12.036,0,0,56,3,0.2,0,0,144.8653,3136
0,13.44,0,0,58,3,3,0,0,180.6336,3364
0,66.36,1,0,50,4,-14.201,0,0,4403.65,2500
0,33.567,1,0,49,3,-17.3,0,0,1126.744,2401
0,42.969,1,1,36,4,2.359,0,0,1846.335,1296
1,18.375,1,0,42,7,4.16,0,0,337.6406,1764
0,21.969,0,0,51,1,3,0,0,482.637,2601
0,17.94,0,1,32,1,0.634,0,0,321.8436,1024
0,17.865,1,0,46,3,-1.35,0,0,319.1582,2116
0,35.226,1,0,37,6,11.4,0,0,1240.871,1369
0,48.66,0,0,50,3,20.799,0,1,2367.796,2500
0,74.178,1,0,35,4,29.715,0,0,5502.376,1225
1,21.45,0,0,54,3,9.999,0,0,460.1025,2916
0,39.954,1,0,40,3,-9.2,0,0,1596.322,1600
